date,url
2004-02-11,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-02-11/toc_unixml/3136-2.xml;fileType=text%2Fxml
2004-02-12,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-02-12/toc_unixml/3139-2.xml;fileType=text%2Fxml
2004-03-01,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-03-01/toc_unixml/3194-4.xml;fileType=text%2Fxml
2004-03-02,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-03-02/toc_unixml/3199-3.xml;fileType=text%2Fxml
2004-03-03,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-03-03/toc_unixml/3203-2.xml;fileType=text%2Fxml
2004-03-04,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-03-04/toc_unixml/3206-2.xml;fileType=text%2Fxml
2004-03-08,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-03-08/toc_unixml/3214-3.xml;fileType=text%2Fxml
2004-03-09,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-03-09/toc_unixml/3219-2.xml;fileType=text%2Fxml
2004-03-10,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-03-10/toc_unixml/3224-2.xml;fileType=text%2Fxml
2004-03-11,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-03-11/toc_unixml/3228-2.xml;fileType=text%2Fxml
2004-03-22,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-03-22/toc_unixml/3250-3.xml;fileType=text%2Fxml
2004-03-23,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-03-23/toc_unixml/3256-2.xml;fileType=text%2Fxml
2004-03-24,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-03-24/toc_unixml/3259-2.xml;fileType=text%2Fxml
2004-03-25,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-03-25/toc_unixml/3266-2.xml;fileType=text%2Fxml
2004-03-29,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-03-29/toc_unixml/3278-2.xml;fileType=text%2Fxml
2004-03-30,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-03-30/toc_unixml/3281-4.xml;fileType=text%2Fxml
2004-03-31,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-03-31/toc_unixml/3286-4.xml;fileType=text%2Fxml
2004-04-01,https://parlinfo.aph.gov.au/parlInfo/download/chamber/hansards/2004-04-01/toc_unixml/3290-3.xml;fileType=text%2Fxml
